emotion,browDownLeft,browDownRight,browInnerUp,cheekSquintLeft,cheekSquintRight,eyeBlinkRight,eyeBlinkLeft,eyeSquintRight,eyeSquintLeft,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight
1,0.0297224820,0.0933936164,0.0014634243,0.0000011564,0.0000013696,0.0419389307,0.0191764906,0.1302343309,0.1975449622,0.0508216657,0.0168909896,0.0035012416,0.8967134953,0.9073404670
1,0.3666246533,0.1574742347,0.0031862054,0.0000030621,0.0000009724,0.0729365721,0.2179141939,0.1268870533,0.3228867054,0.0060223346,0.0186960381,0.0657128170,0.0186113734,0.0311719552
1,0.0000135401,0.0000184181,0.9499214292,0.0000010842,0.0000032639,0.0091410298,0.1012559310,0.0232500993,0.0393771417,0.0145347333,0.1062275469,0.0000980022,0.0203113742,0.0247329064
1,0.3708060682,0.2110430002,0.0000323660,0.0000142404,0.0000256522,0.2003774196,0.7776492834,0.1202606112,0.4919879138,0.0225643441,0.0180188473,0.3095287085,0.0000371536,0.0001469122
1,0.4941671193,0.4512940049,0.0000812612,0.0000004401,0.0000006135,0.3437205255,0.3470157385,0.5541387796,0.5869771838,0.0020184596,0.0011694622,0.0198471025,0.7955532074,0.7575172782
1,0.4169884920,0.3275005519,0.0115066040,0.0000015688,0.0000030561,0.6688411832,0.7482162714,0.5912417173,0.7019556761,0.0008032140,0.0003828430,0.0572433621,0.8653596640,0.8766757250
1,0.9009267688,0.8966127038,0.0000166842,0.0000002742,0.0000004414,0.3413876295,0.3717749119,0.5614799857,0.6211009026,0.0025951641,0.0012141863,0.0032410778,0.8035923243,0.7965641022
1,0.7800622582,0.7165468931,0.0005645383,0.0000033238,0.0000011602,0.3505190313,0.3169469535,0.5386166573,0.5133441091,0.0023930054,0.0026087528,0.2117440253,0.9636740685,0.9612286091
1,0.0000605073,0.0001084038,0.7260602713,0.0000025860,0.0000011052,0.2174002528,0.0947287157,0.1575808972,0.1121821851,0.0174760371,0.0056244838,0.0058589140,0.6224385500,0.6918790340
1,0.0042095766,0.0022922831,0.0856763199,0.0000027192,0.0000002862,0.1734072119,0.2211516052,0.3546157777,0.6172963977,0.0056262491,0.0032505346,0.0029210520,0.8456481695,0.8915748596
